CSD refcode,CIF filename
PUFNUB,pufnub_P1_H
PUKVAU,pukvau_P1_H
PUMDIM,pumdim_P1_charged_H
PUQJAP,puqjap_P1_H
PUSXIL,pusxil_P1_charged_H
PUSXIL01,pusxil01_P1_charged
PUYRAF,puyraf_P1_H
QACWEA,qacwea_P1_charged_H
QAGQEW,qagqew_P1_H
QALHIX,qalhix_P1_charged_H
QALWUZ,qalwuz_P1_charged_H
QALXAG,qalxag_P1_charged_H
QALXEK,qalxek_P1_charged_H
QALXIO,qalxio_P1_H
QALXOU,qalxou_P1_charged_H
QAMVEH01,qamveh01_P1_H
QANSUV,qansuv_P1_H
QANWOV,qanwov_P1_H
QANWUB,qanwub_P1_H
QATPUX,qatpux_P1_H
QAVBUL,qavbul_P1_H
QAZFAB,qazfab_P1_H
QEFLIA,qeflia_P1_charged_H
QEZZIF,qezzif_P1_H
QEZZOL,qezzol_P1_H
QIPROY,qiproy_P1_H
QISVAQ,qisvaq_P1_H
QITSAQ,qitsaq_P1_charged_H
QIWCOQ,qiwcoq_P1_H
QOPCII,qopcii_P1_charged_H
QOPHEI,qophei_P1_H
QOQDEH,qoqdeh_P1_H
QOSLES,qosles_P1_charged_H
QOTKOC,qotkoc_P1_charged_H
QOTKOC01,qotkoc01_P1_charged_H
QOTKOC02,qotkoc02_P1_charged_H
QOTKOC03,qotkoc03_P1_charged_H
QOTKOC04,qotkoc04_P1_charged_H
QOTLOD,qotlod_P1_charged_H
QOTLOD01,qotlod01_P1_charged_H
QOTLOD02,qotlod02_P1_charged_H
QOTLOD03,qotlod03_P1_charged_H
QOTLOD04,qotlod04_P1_charged_H
QOTLOD05,qotlod05_P1_charged_H
QOVDAH,qovdah_P1_H
