CSD refcode,CIF filename
IDUDOA,idudoa_P1_charged
IDUYOX,iduyox_P1_charged_H
IFAGEE,ifagee_P1_charged
IFAGII,ifagii_P1_charged
IFIPEV,ifipev_P1_charged
IFIYAA,ifiyaa_P1_charged
IGAGAA,igagaa_P1_charged
IGIZUW,igizuw_P1_charged_H
IGONUP,igonup_P1_charged
IGOPAX,igopax_P1_charged
IGOPEB,igopeb_P1_charged
IGUFOH,igufoh_P1_charged_H
IHAZOH,ihazoh_P1_charged_H
IJEJEP,ijejep_P1_charged_H
IJEVIE,ijevie_P1_charged_H
IJEXUR,ijexur_P1_charged_H
IJEXUS,ijexus_P1_charged_H
IJICIQ,ijiciq_P1_charged_H
IJIGEQ,ijigeq_P1_charged
IJISOK,ijisok_P1_charged
IKETIB,iketib_P1_charged_H
IKETOH,iketoh_P1_charged_H
IKEVIG,ikevig_P1_charged
IKEZED,ikezed_P1_charged_H
IKOPEF,ikopef_P1_charged
IKOQII,ikoqii_P1_charged_H
ILAXEA,ilaxea_P1_charged
ILOSOS,ilosos_P1_charged
ILOTEJ02,ilotej02_P1_charged
ILOTEJ03,ilotej03_P1_charged
ILOTEJ04,ilotej04_P1_charged
ILOTEJ05,ilotej05_P1_charged
ILOTEJ06,ilotej06_P1_charged
ILOTEJ07,ilotej07_P1_charged
ILOTIN01,ilotin01_P1_charged
ILOTIN02,ilotin02_P1_charged
ILOTIN03,ilotin03_P1_charged
ILOTIN04,ilotin04_P1_charged
ILOTIN05,ilotin05_P1_charged
ILOTIN06,ilotin06_P1_charged
ILOTIN07,ilotin07_P1_charged
IMACZN01,imaczn01_P1_charged
IMIXEI,imixei_P1_charged
IMIXIM,imixim_P1_charged
INEBOT,inebot_P1_charged_H
INEBOT01,inebot01_P1_charged_H
INOCUM,inocum_P1_charged_H
IPICUG,ipicug_P1_charged
IPIDAN,ipidan_P1_charged
IPOCEY,ipocey_P1_charged_H
IQEKAQ,iqekaq_P1_charged
IQIDUK,iqiduk_P1_charged
IQIJOK,iqijok_P1_charged
IQIJUQ,iqijuq_P1_charged
IQIKAX,iqikax_P1_charged
IQIKEB,iqikeb_P1_charged
IREGOD,iregod_P1_charged_H
IRISAD,irisad_P1_charged_H
IRISAD01,irisad01_P1_charged
IRUVUP,iruvup_P1_charged
ISACEN,isacen_P1_charged
ISASIF,isasif_P1_charged
ISAYOQ,isayoq_P1_charged_H
ISECUH,isecuh_P1_charged
ISOLIO,isolio_P1_charged
ITIWEO,itiweo_P1_charged
ITIWUE,itiwue_P1_charged
ITUVOJ,ituvoj_P1_charged
IVEKAY,ivekay_P1_charged
IVESOS,ivesos_P1_charged_H
IVETOT,ivetot_P1_charged
IVILEG,ivileg_P1_charged_H
IXEDOE,ixedoe_P1_charged
IXIXUL,ixixul_P1_charged
IYAHAR,iyahar_P1_charged_H
IYAJID,iyajid_P1_charged
IYAJOJ,iyajoj_P1_charged
IYAJUP,iyajup_P1_charged_H
IYOBIK,iyobik_P1_charged
IYOVEY,iyovey_P1_charged
IYOVIC,iyovic_P1_charged
IYUHOA,iyuhoa_P1_charged_H
IZAYUG,izayug_P1_charged
IZENOS,izenos_P1_charged_H
IZENUY,izenuy_P1_charged_H
IZETUF,izetuf_P1_charged_H
IZIDIG01,izidig01_P1_charged
IZIDOM,izidom_P1_charged
IZISEQ,iziseq_P1_charged
IZOWAW,izowaw_P1_charged_H
IZOWEA,izowea_P1_charged
